trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-80.27134040122345,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-128.7723534923783,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-18.927830898080494,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,16,-41.976474406805266,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-152.24436466263927,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-112.42631837134391,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-194.4376132571192,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-116.23251271484915,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-37.310240320041245,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",35,0,-220.62754585465308,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-140.25525004792013,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-102.5420276971372,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-70.37493210690468,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-117.92932352840467,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,12,-3.2867933285547295,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,8,-32.25322194844812,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-96.16204036892026,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",35,12,-172.89590875828713,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 2}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-109.88649107618781,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,4,-50.03780724792615,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,2,-73.44163924755723,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-91.22709437357028,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-103.0620053759524,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-84.7190323730853,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-179.2686239849192,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-199.59034030976773,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,11,-77.8825649146622,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-95.73164138952671,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,7,-86.85287737598867,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-143.0188721109106,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-218.50596650521817,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-37.36765239798651,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-37.59649545033863,"{0: 20, 1: 8, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,9,-81.75454737442352,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,5,-91.36566732778327,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-122.50730086809831,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,12,-42.41650384303134,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-97.44304273389103,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-149.60520855386352,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-21.662318974113372,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,2,-159.0160889836842,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-121.56401449032657,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-138.01103150470738,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-31.47208281431409,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-89.93298396822544,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,16,-47.39782208775234,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-84.80683544981098,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-159.81190435774295,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,13,-16.3605918232351,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-54.68447804192462,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,11,-10.762579367741232,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,6,-68.8657614675437,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,12,-42.08921365232054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-57.94999925839785,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-85.98803039031347,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-53.88285692031537,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-71.19579331899561,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
